total_patients
--------------
3819          
avg_billing_amount
------------------
25434.91          
avg_length_of_stay
------------------
15.76             
total_billing_amount
--------------------
97822651.58         
pct_emergency_admissions
------------------------
33.31                   
Test_Results  admissions  avg_billing_amount  avg_length_of_stay
------------  ----------  ------------------  ------------------
Abnormal      1288        25248.17            15.61             
Normal        1285        25648.97            15.76             
Inconclusive  1273        25407.77            15.9              
PLC Rogers                         1           41720.42            6.0                 41720.42            
PLC Rodriguez                      1           4467.52             21.0                4467.52             
PLC Ritter                         1           29245.59            15.0                29245.59            
PLC Richardson                     1           41999.91            26.0                41999.91            
PLC Rhodes                         1           14805.48            14.0                14805.48            
PLC Reyes                          1           35668.03            2.0                 35668.03            
PLC Rasmussen                      1           24160.15            4.0                 24160.15            
PLC Proctor                        1           45760.42            5.0                 45760.42            
PLC Phillips                       1           17978.75            21.0                17978.75            
PLC Peterson                       1           16825.51            3.0                 16825.51            
PLC Perez                          1           50459.92            8.0                 50459.92            
PLC Pearson                        1           22929.44            15.0                22929.44            
PLC Parsons                        1           39019.95            6.0                 39019.95            
PLC Palmer                         1           2861.37             1.0                 2861.37             
PLC Ortega                         1           22775.83            5.0                 22775.83            
PLC Murphy                         1           32063.65            26.0                32063.65            
PLC Mullen                         1           49290.6             5.0                 49290.6             
PLC Mosley                         1           43882.89            17.0                43882.89            
PLC Morales                        1           26952.37            8.0                 26952.37            
PLC Montes                         1           42985.65            9.0                 42985.65            
PLC Meyer                          1           13596.85            13.0                13596.85            
PLC Mcmahon                        1           41133.56            6.0                 41133.56            
PLC Mcdaniel                       1           30434.14            14.0                30434.14            
PLC Marquez                        1           42777.21            13.0                42777.21            
PLC Mann                           1           32968.23            22.0                32968.23            
PLC Lowery                         1           3250.42             13.0                3250.42             
PLC Logan                          1           13452.02            17.0                13452.02            
PLC Lewis                          1           22627.25            21.0                22627.25            
PLC Leach                          1           20481.11            28.0                20481.11            
PLC Jones                          1           32068.05            21.0                32068.05            
PLC Johns                          1           47464.12            25.0                47464.12            
PLC Jacobs                         1           36918.08            11.0                36918.08            
PLC Jackson                        1           33098.31            12.0                33098.31            
PLC Holmes                         1           29283.6             5.0                 29283.6             
PLC Hill                           1           24890.44            5.0                 24890.44            
PLC Hawkins                        1           13163.33            25.0                13163.33            
PLC Harris                         1           37337.32            19.0                37337.32            
PLC Gamble                         1           44625.0             19.0                44625.0             
PLC Fox                            1           7902.42             28.0                7902.42             
PLC Fisher                         1           12563.68            28.0                12563.68            
PLC Erickson                       1           29418.72            15.0                29418.72            
PLC Curtis                         1           10240.72            22.0                10240.72            
PLC Cox                            1           17549.39            10.0                17549.39            
PLC Cook                           1           38484.83            16.0                38484.83            
PLC Cochran                        1           13649.63            25.0                13649.63            
PLC Carlson                        1           28873.98            26.0                28873.98            
PLC Butler                         1           34078.34            30.0                34078.34            
PLC Buck                           1           7432.87             6.0                 7432.87             
PLC Beltran                        1           40575.17            25.0                40575.17            
PLC Beasley                        1           12129.59            6.0                 12129.59            
PLC Bean                           1           3878.88             12.0                3878.88             
PLC Barnes                         1           15665.34            29.0                15665.34            
PLC Ball                           1           41963.43            29.0                41963.43            
PLC Armstrong                      1           29846.7             24.0                29846.7             
PLC Aguilar                        1           32561.85            12.0                32561.85            
Owens-Lee                          1           47616.59            9.0                 47616.59            
Owens-Dawson                       1           47269.95            2.0                 47269.95            
Owens-Crawford                     1           18459.41            12.0                18459.41            
Owens and Neal Johnson,            1           6156.58             4.0                 6156.58             
Owens Sons and                     1           27073.73            4.0                 27073.73            
Owens LLC                          1           18930.29            11.0                18930.29            
Owen-Lopez                         1           21473.94            15.0                21473.94            
Owen and Smith, Davis              1           43831.97            1.0                 43831.97            
Owen Gill, Robertson and           1           31365.28            27.0                31365.28            
Ortiz-Cook                         1           32363.76            7.0                 32363.76            
Ortiz-Bass                         1           31118.97            21.0                31118.97            
Ortega and Parsons, Curtis         1           14988.81            26.0                14988.81            
Orozco Inc                         1           41416.03            2.0                 41416.03            
Oneill-Pace                        1           10968.9             30.0                10968.9             
Olson-Todd                         1           9012.68             15.0                9012.68             
Olson-Landry                       1           28533.41            1.0                 28533.41            
Olson, and Taylor Miller           1           16566.34            30.0                16566.34            
Olson, Decker Sims and             1           31672.12            27.0                31672.12            
Olson LLC                          1           18368.95            17.0                18368.95            
Olson Group                        1           37067.47            17.0                37067.47            
Olsen-Williams                     1           4216.91             11.0                4216.91             
Olsen Edwards, and Williams        1           44175.61            6.0                 44175.61            
Odom, Griffith and Scott           1           31931.13            4.0                 31931.13            
Oconnor-Ware                       1           24867.78            20.0                24867.78            
Ochoa, Tran Smith and              1           20891.82            28.0                20891.82            
Ochoa and Anderson Mendez,         1           22746.66            8.0                 22746.66            
Obrien-Colon                       1           47569.49            16.0                47569.49            
Obrien and Sons                    1           30907.0             20.0                30907.0             
Novak-Bates                        1           10282.1             6.0                 10282.1             
Noble PLC                          1           31524.31            6.0                 31524.31            
Nielsen-Conway                     1           41089.93            30.0                41089.93            
Nichols-Robertson                  1           43686.09            17.0                43686.09            
Nichols-Garcia                     1           23440.23            18.0                23440.23            
Nichols Jimenez, and Ingram        1           29584.26            26.0                29584.26            
Nguyen-Maldonado                   1           7648.84             26.0                7648.84             
Nguyen-Hernandez                   1           954.48              25.0                954.48              
Nguyen-Doyle                       1           48843.55            14.0                48843.55            
Nguyen-Alvarez                     1           49382.39            22.0                49382.39            
Nguyen Mason Gomez, and            1           26911.11            13.0                26911.11            
Nguyen Henry and Hernandez,        1           36850.92            11.0                36850.92            
Newton Reyes and Austin,           1           16118.56            7.0                 16118.56            
Newman, Cruz and Mcknight          1           49802.94            3.0                 49802.94            
Newman Inc                         1           36448.82            19.0                36448.82            
Nelson-Hughes                      1           22088.52            14.0                22088.52            
Nelson-Bowman                      1           37618.33            20.0                37618.33            
Nelson, and Wilson Ashley          1           5432.02             5.0                 5432.02             
Nelson, Rush and Moore             1           1518.44             11.0                1518.44             
Nelson, Horton Burgess and         1           3206.71             12.0                3206.71             
Nelson and Pittman Smith,          1           18995.67            5.0                 18995.67            
Nelson Williams, Harris and        1           7319.67             26.0                7319.67             
Nelson Lopez Peters, and           1           18428.41            3.0                 18428.41            
Nelson LLC                         1           1863.5              5.0                 1863.5              
Nelson Collins, Mack and           1           20445.48            11.0                20445.48            
Neal-Tran                          1           43180.84            20.0                43180.84            
Neal PLC                           1           49816.39            7.0                 49816.39            
Navarro Group                      1           20021.89            29.0                20021.89            
Nash-Smith                         1           34855.07            6.0                 34855.07            
Myers-Monroe                       1           39615.6             2.0                 39615.6             
Murray-Miller                      1           7242.25             10.0                7242.25             
Murray-Browning                    1           9945.24             22.0                9945.24             
Murray, Gilbert and Crawford       1           15648.79            23.0                15648.79            
Murray Ltd                         1           21702.45            19.0                21702.45            
Murphy-Williamson                  1           36412.26            28.0                36412.26            
Murphy-Jones                       1           45641.62            25.0                45641.62            
Murphy-Cole                        1           18325.94            5.0                 18325.94            
Murphy LLC                         1           37832.71            5.0                 37832.71            
Murphy Group                       1           36170.69            11.0                36170.69            
Munoz-Waters                       1           34194.56            25.0                34194.56            
Munoz-Anderson                     1           29960.95            1.0                 29960.95            
Munoz Nguyen Marshall, and         1           39224.73            14.0                39224.73            
Mullins Thomas and Moody,          1           2749.39             13.0                2749.39             
Mullen-Jackson                     1           47703.62            10.0                47703.62            
Moses LLC                          1           15500.84            8.0                 15500.84            
Morton-Hall                        1           34086.51            10.0                34086.51            
Morton, Wise Mitchell and          1           38397.01            3.0                 38397.01            
Morton, Lee and Hernandez          1           15672.64            29.0                15672.64            
Morrow-Davis                       1           39906.58            21.0                39906.58            
Morrison-Wright                    1           26491.48            25.0                26491.48            
Morrison, and Andrews Foley        1           36618.41            21.0                36618.41            
Morris-Snyder                      1           10597.6             3.0                 10597.6             
Morris and Sons                    1           15742.39            5.0                 15742.39            
Morris Ray Aguirre, and            1           11035.64            6.0                 11035.64            
Morris Ltd                         1           20728.59            17.0                20728.59            
Morris Group                       1           29953.29            17.0                29953.29            
Morris Fernandez, Kennedy and      1           30474.83            24.0                30474.83            
Morgan-Wells                       1           5158.37             24.0                5158.37             
Morgan-Garrett                     1           46270.56            10.0                46270.56            
Morgan, Lewis Collins and          1           49186.57            27.0                49186.57            
Morgan Group                       1           17618.0             28.0                17618.0             
Moreno-Walsh                       1           46240.53            1.0                 46240.53            
Moreno-Salazar                     1           5808.4              1.0                 5808.4              
Moreno-Mccormick                   1           9562.37             14.0                9562.37             
Moreno, Harrison and Saunders      1           46432.69            24.0                46432.69            
Moreno Clark and Torres,           1           13330.48            23.0                13330.48            
Moran-Patton                       1           34637.2             7.0                 34637.2             
Morales-Williams                   1           25475.31            6.0                 25475.31            
Morales-Hernandez                  1           19829.12            2.0                 19829.12            
Morales-Flynn                      1           38713.49            6.0                 38713.49            
Morales-Briggs                     1           35752.29            1.0                 35752.29            
Morales and Singleton Crane,       1           24389.43            18.0                24389.43            
Morales Ltd                        1           2552.38             10.0                2552.38             
Mora, and Hatfield Koch            1           48018.43            9.0                 48018.43            
Moore-Kelly                        1           42207.97            28.0                42207.97            
Moore-Esparza                      1           6150.97             15.0                6150.97             
Moore-Anthony                      1           40127.01            5.0                 40127.01            
Moore-Acosta                       1           42423.6             26.0                42423.6             
Moore, Jenkins and Bolton          1           32713.34            6.0                 32713.34            
Moore and Sons                     1           33815.77            20.0                33815.77            
Moore Young, Campbell and          1           48493.57            1.0                 48493.57            
Moore Ltd                          1           25622.47            17.0                25622.47            
Moore Johnson and Davis,           1           41452.83            24.0                41452.83            
Moore Hansen, and May              1           11882.29            14.0                11882.29            
Moore Group                        1           14003.73            15.0                14003.73            
Moody-White                        1           15118.77            10.0                15118.77            
Moody-Harris                       1           11740.25            26.0                11740.25            
Montoya-Thomas                     1           35225.39            25.0                35225.39            
Montgomery and Morris Morgan,      1           39355.43            23.0                39355.43            
Montes-Evans                       1           12150.47            4.0                 12150.47            
Montes, Vaughan and Bell           1           13664.78            26.0                13664.78            
Monroe Sons and                    1           36017.78            10.0                36017.78            
Monroe Inc                         1           29546.63            2.0                 29546.63            
Molina Group                       1           49148.66            23.0                49148.66            
Molina Butler and Cherry,          1           19773.42            21.0                19773.42            
Mitchell-Williams                  1           9116.0              10.0                9116.0              
Mitchell-Sharp                     1           17640.56            11.0                17640.56            
Mitchell-Rogers                    1           13007.89            29.0                13007.89            
Mitchell-Hicks                     1           45644.75            29.0                45644.75            
Mitchell-Hernandez                 1           40375.45            10.0                40375.45            
Mitchell-Campbell                  1           46950.91            6.0                 46950.91            
Mitchell-Brewer                    1           16901.48            1.0                 16901.48            
Mitchell, Boyd Lopez and           1           45943.3             14.0                45943.3             
Mitchell and Davis, Banks          1           29803.36            16.0                29803.36            
Mitchell James Castro, and         1           4930.54             2.0                 4930.54             
Miranda-Smith                      1           23379.92            24.0                23379.92            
Miranda-Rodriguez                  1           7490.07             8.0                 7490.07             
Miranda, Keith Cole and            1           14353.27            4.0                 14353.27            
Mills-Silva                        1           7819.22             3.0                 7819.22             
Mills, Johnson Wilson and          1           23253.4             7.0                 23253.4             
Mills Swanson and Nguyen,          1           31403.9             23.0                31403.9             
Mills PLC                          1           7761.27             25.0                7761.27             
Miller-Vargas                      1           34201.34            23.0                34201.34            
Miller-Turner                      1           8401.15             27.0                8401.15             
Miller-Roy                         1           34449.09            25.0                34449.09            
Miller-Robinson                    1           25107.28            21.0                25107.28            
Miller-Obrien                      1           29439.37            14.0                29439.37            
Miller-Martin                      1           46322.69            13.0                46322.69            
Miller-Jensen                      1           49756.38            9.0                 49756.38            
Miller-Casey                       1           32698.48            11.0                32698.48            
Miller-Anderson                    1           17727.2             8.0                 17727.2             
Miller, and Scott Reynolds         1           9450.46             28.0                9450.46             
Miller, and Porter Harvey          1           7750.71             9.0                 7750.71             
Miller, Foster and Evans           1           14646.72            4.0                 14646.72            
Miller and Shepard, Zuniga         1           27399.36            8.0                 27399.36            
Miller and Brown Hurst,            1           2407.52             24.0                2407.52             
Miller PLC                         1           34390.57            21.0                34390.57            
Miller Olson, and Collins          1           7380.73             20.0                7380.73             
Miller Ltd                         1           47638.6             7.0                 47638.6             
Miller Inc                         1           19252.86            26.0                19252.86            
Miller Evans, Gonzalez and         1           31961.43            25.0                31961.43            
Miller Clark Massey, and           1           31332.06            8.0                 31332.06            
Miller Burns Myers, and            1           42640.77            15.0                42640.77            
Miller Bailey, Bryant and          1           48217.24            5.0                 48217.24            
Miles-Arias                        1           11753.13            13.0                11753.13            
Miles Group                        1           18747.6             11.0                18747.6             
Middleton Reed and Owens,          1           19760.25            1.0                 19760.25            
Michael-Hernandez                  1           27590.35            14.0                27590.35            
Michael-Alexander                  1           7051.97             12.0                7051.97             
Michael, Carter Nguyen and         1           38245.06            21.0                38245.06            
Meyers-Cardenas                    1           10278.21            12.0                10278.21            
Meyer-Goodwin                      1           28302.95            20.0                28302.95            
Meyer Inc                          1           42330.39            8.0                 42330.39            
Meyer Group                        1           6718.96             1.0                 6718.96             
Merritt-Woods                      1           30564.84            20.0                30564.84            
Merritt Ltd                        1           12724.94            21.0                12724.94            
Mendoza-Taylor                     1           44740.49            20.0                44740.49            
Mendoza-Lewis                      1           50122.82            22.0                50122.82            
Mendoza-Dougherty                  1           12694.46            6.0                 12694.46            
Mendoza-Carter                     1           5207.44             28.0                5207.44             
Mendoza May, and Harris            1           38954.73            7.0                 38954.73            
Mendoza Ltd                        1           5446.87             8.0                 5446.87             
Mendez-Rodriguez                   1           49689.03            26.0                49689.03            
Mendez-Mcclure                     1           9659.16             22.0                9659.16             
Melton and Parker, Stewart         1           49225.66            9.0                 49225.66            
Melendez-Williams                  1           35778.78            21.0                35778.78            
Mejia PLC                          1           22653.92            25.0                22653.92            
Medina-Roman                       1           39819.0             27.0                39819.0             
Medina-Murray                      1           1784.39             8.0                 1784.39             
Medina-Campos                      1           46605.05            27.0                46605.05            
Medina Shea Barrett, and           1           17919.52            13.0                17919.52            
Medina Inc                         1           34835.47            14.0                34835.47            
Medina Group                       1           26942.94            3.0                 26942.94            
Medina Gross Terrell, and          1           40125.2             3.0                 40125.2             
Mcpherson and Sons                 1           28564.1             9.0                 28564.1             
Mcneil-Edwards                     1           20940.06            8.0                 20940.06            
Mcmahon, Adams and Wright          1           39488.29            23.0                39488.29            
Mclean-Hill                        1           23182.39            26.0                23182.39            
Mclaughlin-Sims                    1           32931.75            15.0                32931.75            
Mclaughlin-Mcfarland               1           8928.5              9.0                 8928.5              
Mclaughlin-Brown                   1           33469.79            6.0                 33469.79            
Mcknight, Castro Perry and         1           26020.84            4.0                 26020.84            
Mckay Jones, Sanford and           1           6125.98             17.0                6125.98             
Mcintyre Ltd                       1           47178.3             7.0                 47178.3             
Mcintosh, and Tucker Harris        1           21953.7             5.0                 21953.7             
Mcguire, Hicks Phillips and        1           4795.82             17.0                4795.82             
Mcguire and Brown, Weeks           1           7290.48             20.0                7290.48             
Mcguire Valdez, White and          1           29269.63            10.0                29269.63            
Mcgrath Anderson, Adams and        1           35016.05            2.0                 35016.05            
Mcgee-Lopez                        1           45939.03            23.0                45939.03            
Mcgee-Hanson                       1           28066.96            23.0                28066.96            
Mcgee Becker, Bradshaw and         1           16932.07            23.0                16932.07            
Mcdowell-Aguirre                   1           21926.88            11.0                21926.88            
Mcdowell and Thomas, Costa         1           17977.69            12.0                17977.69            
Mcdonald Taylor, and Bates         1           27703.01            8.0                 27703.01            
Mcdonald LLC                       1           50157.53            3.0                 50157.53            
Mccullough-Lara                    1           25848.8             22.0                25848.8             
Mccoy, and Newton Morse            1           50152.89            18.0                50152.89            
Mccoy Inc                          1           45794.45            4.0                 45794.45            
Mcconnell and Roach Mitchell,      1           39816.92            16.0                39816.92            
Mcclure-Cline                      1           5431.87             22.0                5431.87             
Mcclure, Price Johnson and         1           30453.42            10.0                30453.42            
Mcclain and Wallace, Vasquez       1           36406.66            26.0                36406.66            
Mccall-Ray                         1           10466.7             20.0                10466.7             
Mccall PLC                         1           13879.71            27.0                13879.71            
Mays-Boone                         1           11831.67            18.0                11831.67            
Mayo-Burnett                       1           5239.85             25.0                5239.85             
Mayer-Stanley                      1           19321.08            7.0                 19321.08            
May-Estrada                        1           40853.66            22.0                40853.66            
May-Chambers                       1           21641.01            26.0                21641.01            
May PLC                            1           18450.12            18.0                18450.12            
May LLC                            1           45903.33            17.0                45903.33            
Maxwell-Miller                     1           48457.1             30.0                48457.1             
Matthews-Oneal                     1           17846.35            1.0                 17846.35            
Matthews-Morgan                    1           22913.35            7.0                 22913.35            
Matthews-Bryan                     1           4498.85             13.0                4498.85             
Matthews Ltd                       1           14382.83            20.0                14382.83            
Mathis-Cruz                        1           23036.91            19.0                23036.91            
Massey-Duran                       1           42710.66            8.0                 42710.66            
Massey LLC                         1           4080.13             20.0                4080.13             
Mason-Schmitt                      1           28282.3             10.0                28282.3             
Mason-Brown                        1           35714.69            25.0                35714.69            
Mason-Ayers                        1           32786.41            25.0                32786.41            
Mason Boyle, Bryan and             1           46833.78            10.0                46833.78            
Martinez-Reyes                     1           28113.88            25.0                28113.88            
Martinez-Potter                    1           5030.85             14.0                5030.85             
Martinez-Molina                    1           33458.04            5.0                 33458.04            
Martinez-Martin                    1           32523.6             28.0                32523.6             
Martinez-Lee                       1           32885.93            1.0                 32885.93            
Martinez-Gutierrez                 1           47722.6             18.0                47722.6             
Martinez-Gonzalez                  1           3754.01             18.0                3754.01             
Martinez-Elliott                   1           32173.35            1.0                 32173.35            
Martinez-Davis                     1           4697.23             12.0                4697.23             
Martinez, and Reeves Torres        1           22032.85            11.0                22032.85            
Martinez, and Lee Paul             1           9695.48             4.0                 9695.48             
Martinez, Williams and Cox         1           16722.39            1.0                 16722.39            
Martinez, Evans and Hall           1           25925.82            7.0                 25925.82            
Martinez and Lee, Oliver           1           31797.32            12.0                31797.32            
Martinez and Hughes Malone,        1           36588.69            4.0                 36588.69            
Martinez and Hayes Davis,          1           31958.74            27.0                31958.74            
Martinez Ltd                       1           30057.41            10.0                30057.41            
Martinez Li, and Johnson           1           3214.81             3.0                 3214.81             
Martinez Inc                       1           24166.14            4.0                 24166.14            
Martinez Freeman Cook, and         1           16430.97            12.0                16430.97            
Martinez Cline, and White          1           37689.48            2.0                 37689.48            
Martin-Perkins                     1           36561.54            3.0                 36561.54            
Martin-Hunter                      1           24625.34            30.0                24625.34            
Martin-Hamilton                    1           25339.95            8.0                 25339.95            
Martin-Grant                       1           15622.86            8.0                 15622.86            
Martin-Barajas                     1           6175.51             19.0                6175.51             
Martin, and Jacobs Roman           1           48421.12            10.0                48421.12            
Martin, May Lopez and              1           1306.94             28.0                1306.94             
Martin, Gonzalez and Gonzalez      1           25952.14            29.0                25952.14            
Martin, Galloway and Wells         1           28633.66            13.0                28633.66            
Martin Inc                         1           41829.77            15.0                41829.77            
Martin Group                       1           41334.3             29.0                41334.3             
Marshall-Bauer                     1           34877.55            15.0                34877.55            
Marshall, and Cline Kemp           1           4073.62             30.0                4073.62             
Marshall PLC                       1           36056.96            14.0                36056.96            
Marshall Inc                       1           37992.88            24.0                37992.88            
Marquez-Kaiser                     1           3082.35             11.0                3082.35             
Marks, Hensley Sanchez and         1           2307.72             27.0                2307.72             
Manning Inc                        1           39348.87            30.0                39348.87            
Mann Mcgee Garcia, and             1           18776.29            11.0                18776.29            
Mann Freeman Cox, and              1           48211.47            25.0                48211.47            
Malone and Mckenzie, Rose          1           18378.62            3.0                 18378.62            
Maldonado and Sons                 1           26711.95            30.0                26711.95            
Madden, Burns Gilbert and          1           13041.55            22.0                13041.55            
Madden PLC                         1           4485.79             29.0                4485.79             
Mack, Wilson and Fowler            1           37879.98            23.0                37879.98            
Mack and Stephenson, Moore         1           43767.26            18.0                43767.26            
Macias and Sons                    1           21638.23            25.0                21638.23            
Macdonald Jimenez and Nichols,     1           18971.59            2.0                 18971.59            
Lyons-Young                        1           28323.82            17.0                28323.82            
Lyons and Foster Rodgers,          1           30128.15            20.0                30128.15            
Lynn, and Perez Ewing              1           26194.41            11.0                26194.41            
Lynch PLC                          1           39745.73            15.0                39745.73            
Luna-Henry                         1           14387.29            28.0                14387.29            
Luna-Hanson                        1           49505.42            30.0                49505.42            
Luna, and Stephens Melendez        1           10861.81            25.0                10861.81            
Lucero-Jacobs                      1           19974.5             21.0                19974.5             
Lucero-Evans                       1           30229.65            11.0                30229.65            
Lucas, and Lester Sullivan         1           10866.59            14.0                10866.59            
Lucas LLC                          1           41728.71            1.0                 41728.71            
Ltd Wright                         1           15295.87            23.0                15295.87            
Ltd Williams                       1           34523.22            29.0                34523.22            
Ltd Weber                          1           33779.26            1.0                 33779.26            
Ltd Webb                           1           43746.85            24.0                43746.85            
Ltd Warren                         1           29773.73            19.0                29773.73            
Ltd Ward                           1           8602.06             20.0                8602.06             
Ltd Wallace                        1           50258.47            19.0                50258.47            
Ltd Walker                         1           12580.82            18.0                12580.82            
Ltd Vazquez                        1           40132.94            1.0                 40132.94            
Ltd Valentine                      1           2587.59             7.0                 2587.59             
Ltd Turner                         1           43445.1             6.0                 43445.1             
Ltd Stevens                        1           43767.93            5.0                 43767.93            
Ltd Spencer                        1           9924.9              9.0                 9924.9              
Ltd Shannon                        1           23916.26            15.0                23916.26            
Ltd Scott                          1           2675.9              4.0                 2675.9              
Ltd Schmidt                        1           36287.01            28.0                36287.01            
Ltd Saunders                       1           11228.64            16.0                11228.64            
Ltd Sampson                        1           34864.2             14.0                34864.2             
Ltd Roman                          1           11604.15            3.0                 11604.15            
Ltd Robertson                      1           41133.93            18.0                41133.93            
Ltd Rivas                          1           4454.47             18.0                4454.47             
Ltd Reese                          1           26080.28            24.0                26080.28            
Ltd Peterson                       1           5608.6              19.0                5608.6              
Ltd Ortega                         1           25225.87            11.0                25225.87            
Ltd Orozco                         1           44757.62            30.0                44757.62            
Ltd Norman                         1           23386.22            11.0                23386.22            
Ltd Nolan                          1           46613.48            29.0                46613.48            
Ltd Moore                          1           18657.23            22.0                18657.23            
Ltd Meyer                          1           46771.45            26.0                46771.45            
Ltd Mcmahon                        1           40190.01            16.0                40190.01            
Ltd Mcintosh                       1           35043.13            2.0                 35043.13            
Ltd Mccarthy                       1           1786.84             16.0                1786.84             
Ltd Martin                         1           33607.41            5.0                 33607.41            
Ltd Long                           1           32122.23            1.0                 32122.23            
Ltd Liu                            1           39576.99            11.0                39576.99            
Ltd Lee                            1           21925.4             17.0                21925.4             
Ltd James                          1           13046.44            11.0                13046.44            
Ltd Hernandez                      1           13219.99            16.0                13219.99            
Ltd Henderson                      1           15454.47            12.0                15454.47            
Ltd Hawkins                        1           39703.1             22.0                39703.1             
Ltd Hammond                        1           2422.51             15.0                2422.51             
Ltd Hall                           1           25612.81            8.0                 25612.81            
Ltd Griffin                        1           15346.2             16.0                15346.2             
Ltd Garrett                        1           18104.66            18.0                18104.66            
Ltd Gallagher                      1           32839.16            24.0                32839.16            
Ltd Figueroa                       1           7205.41             22.0                7205.41             
Ltd Doyle                          1           13005.22            30.0                13005.22            
Ltd Diaz                           1           47070.99            20.0                47070.99            
Ltd Cruz                           1           30574.38            29.0                30574.38            
Ltd Crawford                       1           9095.58             9.0                 9095.58             
Ltd Chavez                         1           12055.78            24.0                12055.78            
Ltd Cantu                          1           43191.89            5.0                 43191.89            
Ltd Burns                          1           3040.18             21.0                3040.18             
Ltd Bullock                        1           7542.47             25.0                7542.47             
Ltd Bridges                        1           6992.43             1.0                 6992.43             
Ltd Bradley                        1           42109.94            25.0                42109.94            
Ltd Bradford                       1           13654.5             24.0                13654.5             
Ltd Bolton                         1           24757.32            27.0                24757.32            
Ltd Becker                         1           42912.54            1.0                 42912.54            
Ltd Baldwin                        1           30061.02            23.0                30061.02            
